"Date","Price","Open","High","Low","Vol.","Change %"
"11/17/2021","175.20","169.00","175.20","169.00","0.25K","0.98%"
"11/16/2021","173.50","167.00","173.50","167.00","0.36K","6.80%"
"11/15/2021","162.45","162.45","162.45","162.45","0.08K","-2.17%"
"11/12/2021","166.05","165.05","167.10","165.05","0.41K","1.93%"
"11/11/2021","162.90","162.90","162.90","162.90","0.00K","-0.94%"
"11/10/2021","164.45","161.00","164.45","161.00","0.15K","-0.63%"
"11/09/2021","165.50","165.50","165.50","165.50","0.05K","0.24%"
"11/08/2021","165.10","163.55","165.10","163.55","0.14K","0.67%"
"11/05/2021","164.00","164.00","164.00","164.00","0.05K","-1.18%"
"11/04/2021","165.95","165.95","165.95","165.95","0.11K","2.41%"
"11/03/2021","162.05","160.00","162.05","160.00","0.99K","-4.90%"
"11/01/2021","170.40","167.15","172.05","166.90","0.74K","2.40%"
"10/29/2021","166.40","169.35","171.75","164.15","3.54K","-0.92%"
"10/28/2021","167.95","165.05","168.30","165.05","0.18K","1.88%"
"10/27/2021","164.85","163.35","165.60","163.20","0.49K","3.22%"
"10/25/2021","159.70","160.15","160.15","159.70","0.02K","-3.45%"
"10/22/2021","165.40","164.00","165.40","164.00","0.06K","-0.06%"
"10/21/2021","165.50","160.00","165.50","160.00","1.24K","3.86%"
"10/20/2021","159.35","160.05","161.65","158.55","1.01K","2.05%"
"10/19/2021","156.15","152.75","156.60","152.55","0.78K","4.10%"
"10/18/2021","150.00","152.00","152.00","149.70","0.88K","-1.57%"
"10/15/2021","152.40","159.15","159.15","152.40","0.87K","-1.61%"
"10/14/2021","154.90","158.00","158.00","154.90","0.54K","-0.19%"
"10/13/2021","155.20","150.35","155.25","150.35","0.58K","4.13%"
"10/12/2021","149.05","147.40","149.05","146.65","1.66K","2.19%"
"10/11/2021","145.85","146.95","146.95","142.50","0.14K","0.66%"
"10/08/2021","144.90","147.85","147.90","144.70","0.70K","-2.75%"
"10/07/2021","149.00","149.65","150.00","149.00","0.22K","0.24%"
"10/06/2021","148.65","150.85","150.85","148.65","0.60K","-0.27%"
"10/05/2021","149.05","146.75","149.55","146.75","0.20K","0.44%"
"10/04/2021","148.40","150.00","154.00","148.40","0.61K","0.88%"
"10/01/2021","147.10","140.25","149.25","137.10","2.30K","-10.47%"
"09/30/2021","164.30","168.90","168.95","164.30","0.19K","-3.24%"
"09/29/2021","169.80","170.00","170.35","168.30","0.04K","2.04%"
"09/28/2021","166.40","169.65","169.80","165.70","0.32K","-2.95%"
"09/27/2021","171.45","170.00","171.70","170.00","0.17K","-2.81%"
"09/23/2021","176.40","172.00","176.40","172.00","0.02K","3.13%"
"09/22/2021","171.05","170.75","171.45","170.75","0.17K","-0.06%"
"09/21/2021","171.15","168.15","172.30","168.15","0.60K","1.66%"
"09/20/2021","168.35","161.80","168.35","161.80","0.11K","3.03%"
"09/17/2021","163.40","167.80","169.90","163.40","0.39K","0.40%"
"09/16/2021","162.75","165.50","168.80","161.55","1.49K","-2.19%"
"09/15/2021","166.40","172.90","172.90","166.00","0.33K","-4.04%"
"09/14/2021","173.40","172.45","173.85","171.50","0.67K","0.52%"
"09/13/2021","172.50","171.80","172.70","170.75","1.86K","-0.12%"
"09/10/2021","172.70","173.60","174.80","172.70","0.19K","-0.75%"
"09/09/2021","174.00","171.65","175.05","171.65","0.27K","-1.16%"
"09/08/2021","176.05","174.50","177.70","173.15","2.87K","0.60%"
"09/07/2021","175.00","176.35","176.35","173.10","0.88K","-2.80%"
"09/06/2021","180.05","181.60","181.60","179.30","0.06K","-0.58%"
"09/03/2021","181.10","184.25","184.75","180.65","0.72K","-1.84%"
"09/02/2021","184.50","183.40","184.70","183.30","0.45K","-1.42%"
"09/01/2021","187.15","183.25","187.15","182.10","0.79K","3.94%"
"08/31/2021","180.05","179.05","184.00","179.05","0.33K","-2.73%"
"08/30/2021","185.10","185.10","185.10","185.10","0.04K","2.86%"
"08/27/2021","179.95","183.70","183.70","179.10","0.93K","-3.43%"
"08/26/2021","186.35","186.45","187.00","186.35","0.47K","-3.22%"
"08/25/2021","192.55","190.45","192.55","187.05","0.13K","2.26%"
"08/24/2021","188.30","189.85","190.65","188.30","0.38K","-0.66%"
"08/23/2021","189.55","185.55","190.00","185.55","0.44K","2.46%"
"08/20/2021","185.00","188.55","188.55","183.30","3.77K","0.68%"
"08/19/2021","183.75","188.25","189.30","183.75","0.03K","-3.29%"
"08/18/2021","190.00","180.85","190.00","180.85","0.22K","6.29%"
"08/17/2021","178.75","182.10","182.40","175.85","0.68K","-5.72%"
"08/16/2021","189.60","195.20","195.20","184.90","3.02K","-1.17%"
"08/13/2021","191.85","192.85","193.00","191.85","0.85K","-0.90%"
"08/12/2021","193.60","196.65","196.65","191.40","7.45K","-2.47%"
"08/11/2021","198.50","195.65","198.50","193.65","7.73K","1.66%"
"08/10/2021","195.25","196.65","197.65","193.60","5.79K","1.43%"
"08/09/2021","192.50","189.80","194.00","189.65","2.83K","1.32%"
"08/06/2021","190.00","182.75","191.90","182.75","8.39K","0.11%"
"08/05/2021","189.80","190.65","190.65","188.40","0.35K","0.18%"
"08/04/2021","189.45","192.15","195.80","188.80","7.91K","-0.37%"
"08/03/2021","190.15","190.90","191.10","188.75","0.73K","-0.89%"
"08/02/2021","191.85","190.65","193.10","190.65","0.11K","1.45%"
"07/30/2021","189.10","188.75","189.50","188.30","0.15K","-0.55%"
"07/29/2021","190.15","192.20","192.35","189.80","1.86K","-2.44%"
"07/28/2021","194.90","189.00","196.00","189.00","1.29K","2.93%"
"07/27/2021","189.35","189.00","190.90","185.05","9.02K","0.00%"
"07/26/2021","189.35","194.00","194.00","188.55","1.36K","-4.80%"
"07/23/2021","198.90","209.00","209.00","193.20","13.38K","-15.86%"
"07/22/2021","236.40","234.60","238.70","234.60","0.36K","3.37%"
"07/21/2021","228.70","227.80","231.40","227.70","1.57K","3.20%"
"07/20/2021","221.60","228.70","229.50","221.60","0.27K","-3.02%"
